,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test,dataset_size,group,prot_length
3235,UBC9 HUMAN,rbf1,esm2_150M,1,230,0.3406342187544204,0.3200587857728024,0.4081446963167776,0.6057325381990724,0.111570669244839,0.3594836619682656,0.4659518040894844,0.3684260426958775,2721,Growth,158
3236,UBC9 HUMAN,rbf1,esm2_150M,2,244,0.3388454302375322,0.3211489612611682,0.4087351343635726,0.6120308087036559,0.1489749741866435,0.3572412504482011,0.4556960052682068,0.3970374122602397,2721,Growth,158
3237,UBC9 HUMAN,rbf1,esm2_150M,3,252,0.3303161181222671,0.3219405655462076,0.4101497233308792,0.597367525158138,0.1918747784909742,0.3513078869267405,0.4496088335436994,0.4783349566386436,2721,Growth,158
3238,UBC9 HUMAN,rbf1,esm2_150M,4,203,0.289965501480112,0.3335544289298509,0.4268548215013607,0.5697819487338696,0.2088188375519712,0.3473262805049388,0.4250734806012136,0.476380835197263,2721,Growth,158
3239,UBC9 HUMAN,rbf1,esm2_150M,5,217,0.3350005744887381,0.3149564778440892,0.400982710641023,0.6182415389870163,0.1460944923212859,0.3726469835742312,0.4957446879905458,0.4057109294933559,2721,Growth,158
3240,AMIE PSEAE,iDCT1,esm2_150M,1,26,0.1453013193318172,0.2829725534481003,0.3484967338707342,0.4204013882955846,0.1277117118848864,0.2864910182886006,0.3625608953951374,0.3856710977241919,6568,Enzyme function,346
3241,AMIE PSEAE,iDCT1,esm2_150M,2,15,0.1185755752795021,0.2891349316352015,0.3566406156957495,0.3923126324006097,0.0985982576452377,0.2912488559640371,0.3574419561660859,0.3450276849137041,6568,Enzyme function,346
3242,AMIE PSEAE,iDCT1,esm2_150M,3,18,0.1023001355640904,0.2893291052345744,0.3560608838323689,0.3611398316915812,0.1146272397685371,0.2982149871256764,0.3694193948016783,0.4164388545087463,6568,Enzyme function,346
3243,AMIE PSEAE,iDCT1,esm2_150M,4,19,0.113100369517707,0.2911440362721763,0.3599447620958756,0.3811421945337431,0.1240411173924886,0.2821902349351733,0.3436048339104812,0.4103150231338542,6568,Enzyme function,346
3244,AMIE PSEAE,iDCT1,esm2_150M,5,32,0.1624032430601587,0.2806894259776185,0.3489763477694734,0.4423982767688182,0.1339583795743127,0.2810294593500246,0.3451149495332549,0.3924055948780036,6568,Enzyme function,346
3245,BLAT ECOLX 2013,iDCT2,esm2_150M,1,1,3.3306690738754696e-16,1.675578634258918,1.9580607486880013,0.1337472227828083,-0.0001681585666013,1.6384645090292171,1.925456956251137,0.1088381524692177,989,Other,286
