,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd
4,DLG4_RAT_Ranganathan2012,Lasso,5,0.836098608087005,0.118150276807161,0.1620896034349469,0.4886621008515288,0.197936367969774,0.2678554209782935,0.7670142023807327,0.4919983629780489,519,pca1
5,DLG4_RAT_Ranganathan2012,Lasso,6,0.8369465963872623,0.1176842071257595,0.1617743609474021,0.5236076233109941,0.1900407095887241,0.2569703667741543,0.774528345892247,0.5388761978687688,513,pca1
6,DLG4_RAT_Ranganathan2012,Lasso,7,0.832788885700997,0.1171222636421368,0.160699510236782,0.5784464177305505,0.2056483531004986,0.2845470584214647,0.7610641547144408,0.668911908265272,511,pca1
7,DLG4_RAT_Ranganathan2012,Lasso,8,0.8316822320162865,0.1186981386963367,0.1630955890629172,0.6316122827140132,0.1744394440518391,0.2440126004190828,0.761391747492912,0.6540299466783849,515,pca1
8,DLG4_RAT_Ranganathan2012,Lasso,9,0.8405013611043746,0.1188090576171165,0.1623942623146537,0.2330613544132491,0.1824007586012084,0.2685923254920253,0.7660560588023939,0.6218728356476161,520,pca1
9,DLG4_RAT_Ranganathan2012,Lasso,10,0.827556686293716,0.1199673829639278,0.1654165637279989,0.6501389688415914,0.1629941881881011,0.2333217311432825,0.7614256263500419,0.6286106224596245,521,pca1
0,DLG4_RAT_Ranganathan2012,Lasso,1,0.8300361067541414,0.1183310499114671,0.1635061804207133,0.5783378351946532,0.1858869345597876,0.2660424639449478,0.7686954447659332,0.5229954942110223,517,maxPool
1,DLG4_RAT_Ranganathan2012,Lasso,2,0.8477582895316119,0.1130416782049315,0.1545511366587045,0.2877865847013806,0.2418916960109959,0.3479810592659518,0.7593859009940535,0.661308878249514,501,maxPool
2,DLG4_RAT_Ranganathan2012,Lasso,3,0.8480831835409848,0.1120282744011943,0.1539612872119044,0.371833982520352,0.2287455393452949,0.3337725583104197,0.7731360642626894,0.5959133110484415,506,maxPool
3,DLG4_RAT_Ranganathan2012,Lasso,4,0.8326940752699394,0.1174458809400045,0.1617252490550767,0.5769991058784537,0.1868491767089071,0.2736086866412321,0.7635432260339114,0.6529091971709452,517,maxPool
4,DLG4_RAT_Ranganathan2012,Lasso,5,0.836812705134443,0.1174449997975976,0.1617361163299794,0.5435104816042182,0.1879514769295648,0.253082347318312,0.76859353190214,0.5364062679643739,512,maxPool
5,DLG4_RAT_Ranganathan2012,Lasso,6,0.8375467960903763,0.1170824244983873,0.1614763406682928,0.5254121810717423,0.1884532031089047,0.2564832075931504,0.7635725066791502,0.5480079773935532,522,maxPool
6,DLG4_RAT_Ranganathan2012,Lasso,7,0.83595327111997,0.1143428045188406,0.1591716689964225,0.5803424234534212,0.2070019869519015,0.2839064389754609,0.7702802405946397,0.6319540413631272,515,maxPool
7,DLG4_RAT_Ranganathan2012,Lasso,8,0.837729224912857,0.1176615431347788,0.1601391021494815,0.580220610574318,0.1832983126274752,0.2604775138990744,0.7620954563294703,0.6832288850243298,502,maxPool
8,DLG4_RAT_Ranganathan2012,Lasso,9,0.8425715147130445,0.1156761909074653,0.161336952227389,0.0971201804029062,0.1937116395555417,0.2914259771786529,0.7684699877031329,0.6147329651115483,511,maxPool
9,DLG4_RAT_Ranganathan2012,Lasso,10,0.8303313858243189,0.1193820724843953,0.1640803490418714,0.5976744537912775,0.1752361510795778,0.250205129452791,0.7593273644312032,0.5893190170072642,498,maxPool
0,DLG4_RAT_Ranganathan2012,Lasso,1,0.8369973174908952,0.1155485693171028,0.1601228140084907,0.5067793207159991,0.2018697539978027,0.2877327409538484,0.7746743538945458,0.5037171027390572,504,sigmoid2
1,DLG4_RAT_Ranganathan2012,Lasso,2,0.8387463903340048,0.1163475461350431,0.1590596779035918,0.5220774878753325,0.2064442162688905,0.2850554015457073,0.7614628857935845,0.6233153122202568,509,sigmoid2
2,DLG4_RAT_Ranganathan2012,Lasso,3,0.8507280900016168,0.1131525684944167,0.1526151517722969,0.3484367481963869,0.2242003152511661,0.3399317260540589,0.7670065774028644,0.6164790587504994,503,sigmoid2
3,DLG4_RAT_Ranganathan2012,Lasso,4,0.8338307732845789,0.117796151145153,0.1611749216206414,0.6199591589221823,0.1863066277664772,0.2593429066660698,0.7656785613284292,0.6484817758668786,505,sigmoid2
4,DLG4_RAT_Ranganathan2012,Lasso,5,0.836989858129825,0.1183961585515111,0.1616483036796685,0.5412982868807605,0.1872461364762032,0.2536948375899654,0.7648654834246291,0.5177196676491035,506,sigmoid2
