,Model,Fold,Accuracy_train,Recall_train,Precision_train,F1_score_train,Accuracy_test,Recall_test,Precision_test,F1_score_test,class_0_non_zero_coef,class_1_non_zero_coef,class_2_non_zero_coef,class_3_non_zero_coef,class_4_non_zero_coef,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,Compression_methd
3,LogR,4,0.666527806706936,0.5499291163911806,0.7098810735756359,0.5907549112457119,0.5393258426966292,0.425297803331859,0.511932731587463,0.442815534676264,462,360,410,509,513,0.3176470588235294,0.21428571428571427,0.23529411764705882,0.6421568627450981,0.7171052631578947,sigmoid2
4,LogR,5,0.671735055196834,0.5622151285926531,0.7123435754662705,0.6033343229348692,0.548689138576779,0.3789563481518039,0.46625223924494,0.3870828713986179,462,378,409,508,514,0.2375,0.125,0.11904761904761904,0.7276995305164319,0.6855345911949685,sigmoid2
5,LogR,6,0.6640982923781757,0.5501772480298834,0.7047556323933211,0.5904493836257044,0.5309568480300187,0.37691819537603016,0.43129268577773877,0.38707791057895324,471,373,387,527,506,0.21176470588235294,0.13793103448275862,0.18181818181818182,0.6395939086294417,0.7134831460674157,sigmoid2
6,LogR,7,0.6686797167846731,0.5514372282033493,0.7169721476699669,0.5932789943045494,0.5065666041275797,0.39391433929408615,0.4690071305617458,0.4076110437799946,470,377,409,518,513,0.24444444444444444,0.25,0.16071428571428573,0.6878306878306878,0.6265822784810127,sigmoid2
7,LogR,8,0.6678467305289463,0.5529560536822153,0.7088290821269521,0.5942501427678191,0.4971857410881801,0.3787293461256975,0.4334935355039599,0.38465132192244694,465,376,410,518,518,0.3163265306122449,0.15555555555555556,0.12,0.639344262295082,0.6624203821656051,sigmoid2
8,LogR,9,0.665347771761766,0.5544862999742627,0.7060962511158533,0.594508037306559,0.5365853658536586,0.3865444989869701,0.4304082012336197,0.3940073728678463,467,383,404,516,525,0.23376623376623376,0.08571428571428572,0.2631578947368421,0.6188340807174888,0.73125,sigmoid2
9,LogR,10,0.6626405664306539,0.5508827714544335,0.7148298366579525,0.5936962959273407,0.5534709193245778,0.40872426791985494,0.44826468610317693,0.4139451699503409,463,368,407,534,497,0.3493975903614458,0.05128205128205128,0.2553191489361702,0.6813725490196079,0.70625,sigmoid2
0,LogR,1,0.9366798583628411,0.8932808817465514,0.9394154301776195,0.9133470259926881,0.8764044943820225,0.7885285405350364,0.8571172654971306,0.8125079370445178,305,273,250,355,237,0.7978723404255319,0.5128205128205128,0.7058823529411765,0.9553072625698324,0.9707602339181286,mean
1,LogR,2,0.9335555092689023,0.8886111021430818,0.9348764903811266,0.9087159116967058,0.8670411985018727,0.7687434968053257,0.8242726375288113,0.7892149547243706,304,272,270,358,252,0.8446601941747572,0.43243243243243246,0.6739130434782609,0.9226519337016574,0.9700598802395209,mean
2,LogR,3,0.9354301187252656,0.8926443653157907,0.9348099300565952,0.9110401721349992,0.8689138576779026,0.7904849767127113,0.827649402114111,0.8033104458481202,297,272,263,353,236,0.8415841584158416,0.4594594594594595,0.7872340425531915,0.8994413407821229,0.9647058823529412,mean
3,LogR,4,0.9348052489064779,0.8917334442815046,0.9342492424111069,0.9107086664168185,0.850187265917603,0.7508182220256523,0.8232318465752313,0.7766332798282208,303,271,273,348,230,0.8235294117647058,0.40476190476190477,0.6470588235294118,0.9313725490196079,0.9473684210526315,mean
4,LogR,5,0.93418037908769,0.8900522778887122,0.9345205787137469,0.9093936170905934,0.8895131086142322,0.8162234729129494,0.8443863140314642,0.8280166892628765,305,287,265,360,237,0.8125,0.65,0.7142857142857143,0.9483568075117371,0.9559748427672956,mean
5,LogR,6,0.9358600583090378,0.8947612981198022,0.9371494344399082,0.9134978502257651,0.9099437148217636,0.834414308261719,0.8623302916135607,0.8469948085157059,305,272,271,367,229,0.9176470588235294,0.6206896551724138,0.7272727272727273,0.9289340101522843,0.9775280898876404,mean
6,LogR,7,0.9389837567680134,0.897029867019754,0.9384451636055408,0.9152157742740051,0.8555347091932458,0.7673906637197777,0.8309291688591882,0.7923253189061363,295,268,258,362,228,0.7666666666666667,0.575,0.5892857142857143,0.9629629629629629,0.9430379746835443,mean
