,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Sample_size,Dataset,ModelSize
1064,esm2,5,0.7672775097458115,0.163968256815637,0.2165609064643041,0.7670772445983487,0.1635192798634117,0.2166019403209865,0.8242634039765168,0.822601247285562,740,320000,HIS7,3B
1065,esm2,1,0.7669303414423888,0.1641914123045494,0.2168485252480478,0.7669160181622854,0.1639766095576023,0.2164601212862595,0.8247529637534945,0.8220174207959655,707,496137,HIS7,3B
1066,esm2,2,0.7675970904217004,0.164065399930831,0.2165641662858588,0.7650775540065925,0.1642324822218113,0.2172050472672298,0.8248010060678629,0.8225418461318569,716,496137,HIS7,3B
1067,esm2,3,0.7676390450311725,0.1638178248888772,0.2163749187671725,0.7646112054398956,0.1651495015828261,0.2181034350687878,0.8237581772059678,0.826462721985891,715,496137,HIS7,3B
1068,esm2,4,0.7672388137732259,0.1639006147868736,0.2165521658127113,0.7670266946333404,0.1643714579120673,0.2170213978734584,0.8241279514264114,0.8247226652313207,731,496137,HIS7,3B
1069,esm2,5,0.7671769800408403,0.1640332926701971,0.2166111642966426,0.7673594537519275,0.163858260102434,0.2167464519457965,0.8244507152440794,0.8239559681525501,715,496137,HIS7,3B
1070,esm2,1,0.9717793259267083,0.05622152709375,0.0717176078898532,-1.2884339691172229,0.6117989243449148,0.7021103258602258,0.960399058829848,-0.2364331218717302,26,32,HIS7,15B
1071,esm2,2,0.0,0.4300866131901441,0.4499118270202449,-0.0459651142163379,0.4182396786262799,0.4376284784424005,,,0,32,HIS7,15B
1072,esm2,3,0.0,0.4307490436642899,0.4523454338454871,-0.0008437195791157,0.3835740037764743,0.4219799172031425,,,0,32,HIS7,15B
1073,esm2,4,0.0,0.427460958614497,0.4448312954200319,-0.2044630204392235,0.4485420924625513,0.4626722409794845,0.3953518473957401,-0.4879500364742665,1,32,HIS7,15B
1074,esm2,5,0.0,0.4301737590986982,0.4539136666080796,-0.0003974017083141,0.3870640634743974,0.4145998855312383,,,0,32,HIS7,15B
1075,esm2,1,0.4396688304096682,0.2851408328774386,0.3292802866923515,0.1604512698485133,0.3594807916643199,0.4182365655437994,0.6354505643052886,0.430514460129151,17,100,HIS7,15B
1076,esm2,2,0.3727687342740213,0.309589644457262,0.3538763339745162,-0.1089399664432508,0.3835586828046073,0.4514129785299782,0.5715883647163654,0.2030361294491133,6,100,HIS7,15B
1077,esm2,3,0.1866796551575856,0.3745805578506346,0.4063192401266149,0.133779318170657,0.342160128322879,0.3812402333859898,0.5986539541345816,0.1698125298193973,8,100,HIS7,15B
1078,esm2,4,0.3566075722587515,0.3096918420974808,0.3536387320833577,0.0672795828293304,0.4025677489969991,0.4370576963923125,0.6512861946658816,0.1021043144377101,8,100,HIS7,15B
1079,esm2,5,0.1798217093459356,0.3546371720562316,0.3963953807319739,0.148651514774427,0.3804760714581094,0.4261016189172811,0.4796887276637915,0.447108009778686,2,100,HIS7,15B
1080,esm2,1,0.727125445902626,0.1948457784624855,0.2414953010301204,0.357077027910274,0.2814564668271698,0.365649572974219,0.8104342101978222,0.5195080886552866,73,320,HIS7,15B
1081,esm2,2,0.7890020457189038,0.1685466351092033,0.2132071278546035,0.405408656955479,0.2628703168161281,0.3477255227621517,0.8347948461436434,0.6043033016610032,85,320,HIS7,15B
1082,esm2,3,0.7826639013046446,0.171022269807714,0.2160952818976066,0.3595268288846149,0.2858483813093061,0.3533056932207699,0.8494772650871941,0.482411904258147,76,320,HIS7,15B
1083,esm2,4,0.7312319891968158,0.1869828736334842,0.2363678706501163,0.4620197372894129,0.2723296966797908,0.3400722794702239,0.7884437060777753,0.7456514081373398,89,320,HIS7,15B
1084,esm2,5,0.75209870778713,0.1818365123836873,0.2291247446482147,0.4373555978203234,0.2757581427028043,0.3495597906502436,0.8013660139180088,0.6825208951780738,87,320,HIS7,15B
1085,esm2,1,0.8082890612800009,0.1539600600863341,0.1969956398886891,0.6331158914556617,0.2062743756763229,0.2769739029846423,0.8329169916097595,0.7611855743981877,202,1000,HIS7,15B
1086,esm2,2,0.8025586156489614,0.1544840264095439,0.2008691252102696,0.6008731667207252,0.2096728024495971,0.2834514765049746,0.8310800800089859,0.7604267127435975,208,1000,HIS7,15B
1087,esm2,3,0.8433466041498978,0.1370074302318523,0.1795861206814062,0.6300156940579063,0.197696618798361,0.2658978729158565,0.8562376690987084,0.6901317099587138,287,1000,HIS7,15B
1088,esm2,4,0.7833302936035337,0.1623520019935456,0.2103976362996656,0.7278845147576892,0.1858262520810086,0.2338746468977785,0.8150352403503123,0.7728871828633103,198,1000,HIS7,15B
1089,esm2,5,0.8009513808732643,0.1537608463052926,0.2005352635719562,0.5080378947096214,0.2529891729888293,0.3204785499446803,0.8177513331932302,0.6894946728781911,175,1000,HIS7,15B
1090,esm2,1,0.829234385298199,0.1433711066121192,0.1872737308171408,0.6921139608757159,0.1844135375497325,0.2470870335012552,0.8379073465472766,0.7901893788848997,457,3200,HIS7,15B
1091,esm2,2,0.8022238020816872,0.1534001271618326,0.2006197644485963,0.7314205941354616,0.1780316840631724,0.235092343221834,0.8319488623203142,0.7971886611974528,390,3200,HIS7,15B
1092,esm2,3,0.8136240351015525,0.15137330988057,0.1950025833848691,0.7420937863494114,0.1745709335008933,0.2292331416323678,0.8365110182431664,0.8161641280818894,445,3200,HIS7,15B
1093,esm2,4,0.8425232399015612,0.1369793706336927,0.1793327420011537,0.7142758391417385,0.1748430578703942,0.2408585448511814,0.8503284576146933,0.7808223361941401,569,3200,HIS7,15B
1094,esm2,5,0.8579658359183279,0.1276009594133627,0.1697063023153044,0.7268957718618034,0.1785032976046517,0.2386529005595828,0.8508305055739668,0.8056465387171556,720,3200,HIS7,15B
1095,esm2,1,0.8252068855444419,0.1412694885248329,0.1873682875297826,0.7425818860029303,0.1670694899923565,0.2299168455478691,0.8455671847372636,0.8070867900835303,964,10000,HIS7,15B
1096,esm2,2,0.827005429782327,0.1400138680229631,0.1869332366640761,0.7668425307723531,0.1615664974446625,0.2164537441481268,0.8453828852503409,0.8259245291997092,1085,10000,HIS7,15B
1097,esm2,3,0.828317925418102,0.1397708623061531,0.1861920727158332,0.7515914183383481,0.164380585255828,0.2235804695923028,0.8492580477022255,0.8197765428498125,1129,10000,HIS7,15B
1098,esm2,4,0.8277188191941119,0.1396184619351782,0.1860553768705788,0.7687743270105959,0.1599564568829571,0.2177144696070763,0.8458656808946186,0.8288162231601027,1086,10000,HIS7,15B
1099,esm2,5,0.8263221314122179,0.1409489097872241,0.1878793552805253,0.7620532577084367,0.1593509109587611,0.2157997508849902,0.8480221783038749,0.8095447474241545,1102,10000,HIS7,15B
1100,esm2,1,0.8016483337329372,0.1495804717340793,0.1994749270082988,0.7679940291825744,0.1590863935572269,0.2173926642497036,0.8349283290970156,0.8296288077572826,1049,32000,HIS7,15B
1101,esm2,2,0.798007736989499,0.1512992143933545,0.2020135187368356,0.7809420396425991,0.1571560684474552,0.2081914525366673,0.8358245778011367,0.8254888562095138,1044,32000,HIS7,15B
1102,esm2,3,0.8007053579012977,0.14970427291214,0.2003253786275021,0.7666021804090091,0.1603269588358021,0.2164533098680761,0.8357510820808546,0.8224254109914456,1030,32000,HIS7,15B
1103,esm2,4,0.7981450354726533,0.1510809544369847,0.2014109876587316,0.7830290818042003,0.1547146825466322,0.2095141012497254,0.8352855031617978,0.8291565005535048,1041,32000,HIS7,15B
1104,esm2,5,0.7988323504716053,0.1505740347608746,0.2011946898617835,0.7800487049555744,0.1560624423241537,0.2104180775871098,0.8355405089618385,0.8279168331709378,1063,32000,HIS7,15B
1105,esm2,1,0.7911730233666598,0.1532415035178095,0.2051496412019812,0.7771648287616892,0.1557404892270288,0.2113905763549904,0.8321247690175516,0.8266950547962834,1073,100000,HIS7,15B
1106,esm2,2,0.7902689694283299,0.1534218593277616,0.2055750382772705,0.7813679060265326,0.1558033525974897,0.2094669506221213,0.831698484981057,0.8266078890658709,1086,100000,HIS7,15B
1107,esm2,3,0.790344394995272,0.1532093660708208,0.2053942410208434,0.7822492622949103,0.1559759609171162,0.2096318432999701,0.8314178689251417,0.8282362810348447,1069,100000,HIS7,15B
1108,esm2,4,0.7900327701639651,0.153502134425344,0.205656733502,0.7836480019336777,0.1554205008303407,0.2085131154174888,0.8302467771540147,0.833423161648132,1090,100000,HIS7,15B
1109,esm2,5,0.7895446032445874,0.153437235894448,0.2056746532423017,0.7874386808997462,0.1549991414118608,0.2075570358048968,0.8319827805315674,0.8280803704076252,1125,100000,HIS7,15B
1110,esm2,1,0.7851264340946786,0.1554879999852595,0.2080261735794349,0.7838606376835916,0.1564229262643365,0.2089081628208254,0.8289648147973913,0.8304387976494869,1043,320000,HIS7,15B
1111,esm2,2,0.785539057124526,0.1555131626537093,0.2079399707534502,0.7826502486896143,0.1561268864914481,0.2090364118336926,0.8297725742640728,0.826464283674973,1027,320000,HIS7,15B
