,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_method,Dataset,Dataset_Name,ModelSize,parameters,dataset_size,group,prot_length
1616,esmc,2,0.3801498326195145,1.4246327010612416,1.7536631870124249,0.380000864633908,1.4152313792435922,1.7422071843944735,0.6274006884402447,0.6277948252586298,85,mean,BG505_env_Bloom2018,BG505 env,600M,600000000.0,12729,Viral replication,860
1617,esmc,3,0.3887659337840591,1.4153261509221808,1.7415763680317426,0.353725545435131,1.4315776771709925,1.779136225000438,0.634253939332884,0.6032396200846502,76,mean,BG505_env_Bloom2018,BG505 env,600M,600000000.0,12729,Viral replication,860
1618,esmc,4,0.3749857190983028,1.4265759316104762,1.75787064322979,0.3612116964459779,1.454736423886679,1.780831103370309,0.6245467687252249,0.608651956290204,76,mean,BG505_env_Bloom2018,BG505 env,600M,600000000.0,12729,Viral replication,860
1619,esmc,5,0.3646342976500173,1.435376470571989,1.7676701119337546,0.3720033179534304,1.4725135403738436,1.785227541791032,0.6158175268024678,0.6224565310806641,61,mean,BG505_env_Bloom2018,BG505 env,600M,600000000.0,12729,Viral replication,860
1620,esmc,1,0.35959516633594,0.2315009073312831,0.3016612289852411,0.3354339882749312,0.2346098918249345,0.3164608593705929,0.6213884982682867,0.5971056143156086,62,mean,AMIE_PSEAE_Whitehead,AMIE PSEAE,600M,600000000.0,6568,Enzyme function,346
1621,esmc,2,0.383498615354527,0.2265505671575285,0.2982670567120326,0.3387416329255435,0.237026203203732,0.3061483490328445,0.6404480763419349,0.6055274670688264,77,mean,AMIE_PSEAE_Whitehead,AMIE PSEAE,600M,600000000.0,6568,Enzyme function,346
1622,esmc,3,0.3600143099708635,0.229637343206245,0.3006379610897274,0.3444348415523002,0.2402689198707518,0.3178809822946753,0.6175139990400166,0.6168459152692409,60,mean,AMIE_PSEAE_Whitehead,AMIE PSEAE,600M,600000000.0,6568,Enzyme function,346
1623,esmc,4,0.3694607293461095,0.2308956013823281,0.3034972017082548,0.3556792766834515,0.2256403292590575,0.2946920734012512,0.625974943314255,0.6011690619452975,64,mean,AMIE_PSEAE_Whitehead,AMIE PSEAE,600M,600000000.0,6568,Enzyme function,346
1624,esmc,5,0.3432712409216897,0.2360318143903086,0.3090092764757622,0.3443432841620839,0.2344013613462811,0.3002843145700157,0.6072683377749059,0.604097903312597,49,mean,AMIE_PSEAE_Whitehead,AMIE PSEAE,600M,600000000.0,6568,Enzyme function,346
1625,esmc,1,0.71860486858888,0.1210937790310405,0.1862322744093063,0.665613370303549,0.1263461534310448,0.1996384106026721,0.6474675170001337,0.6288942207776709,117,mean,HSP82_YEAST_Bolon2016,HSP82 YEAST,600M,600000000.0,4543,Growth,709
1626,esmc,2,0.7220535592127868,0.1190071435030406,0.1838275126284718,0.7428417885962835,0.1196777784586954,0.1799137670504808,0.6479454368963199,0.6577362757251374,135,mean,HSP82_YEAST_Bolon2016,HSP82 YEAST,600M,600000000.0,4543,Growth,709
1627,esmc,3,0.7329449146502053,0.1162169584965119,0.1799612121104292,0.7224232642946192,0.1233377121496874,0.1879113119017439,0.6580960328525599,0.6474262879448682,150,mean,HSP82_YEAST_Bolon2016,HSP82 YEAST,600M,600000000.0,4543,Growth,709
1628,esmc,4,0.7490091372914436,0.1129904254762549,0.1741577725216091,0.69027106148581,0.1261411552264176,0.1997801611192398,0.6570305563931753,0.6192058797788886,178,mean,HSP82_YEAST_Bolon2016,HSP82 YEAST,600M,600000000.0,4543,Growth,709
1629,esmc,5,0.7530360640479102,0.1140112202583419,0.1759345616701593,0.7067402272694262,0.1159310178232583,0.1803006083821325,0.6620121310977096,0.6370703858471926,190,mean,HSP82_YEAST_Bolon2016,HSP82 YEAST,600M,600000000.0,4543,Growth,709
1630,esmc,1,0.6184401045966261,0.1654268877562962,0.2435743656530434,0.5759843640528972,0.1827295166734118,0.2683908326553139,0.6622345064422995,0.6039275063637132,48,mean,DLG4_RAT_Ranganathan2012,DLG4 RAT,600M,600000000.0,1659,Peptide binding,724
1631,esmc,2,0.5361253239353202,0.1806312460057081,0.2667614473337866,0.5064603763620399,0.1987489679771207,0.2961014869930005,0.6140667317025984,0.6565140329155267,17,mean,DLG4_RAT_Ranganathan2012,DLG4 RAT,600M,600000000.0,1659,Peptide binding,724
1632,esmc,3,0.5270415700358692,0.187558519744593,0.2775522934411438,0.5260133295666253,0.1792406031429473,0.2571066719290003,0.6231650094379286,0.5876097872155107,22,mean,DLG4_RAT_Ranganathan2012,DLG4 RAT,600M,600000000.0,1659,Peptide binding,724
1633,esmc,4,0.5079288691227573,0.1839040475933386,0.2748607909025799,0.4953976171126305,0.1967334850487507,0.2990203468154486,0.6124983292522135,0.6487385105280109,19,mean,DLG4_RAT_Ranganathan2012,DLG4 RAT,600M,600000000.0,1659,Peptide binding,724
1634,esmc,5,0.5356377208900449,0.1902239556624282,0.278055196854735,0.4769331748395244,0.1724658565203221,0.2556017771627863,0.6280045460395591,0.595382844505359,14,mean,DLG4_RAT_Ranganathan2012,DLG4 RAT,600M,600000000.0,1659,Peptide binding,724
1635,esmc,1,0.4856706089747512,0.1023771229089429,0.1337752680793046,0.5319424449218676,0.0981419441157566,0.1281468058136689,0.6974247146410982,0.6788877650702002,42,mean,RL401_YEAST_Fraser2016,RL401 2016,600M,600000000.0,1324,Growth,128
1636,esmc,2,0.5449768191427682,0.095888934827315,0.1265874206251004,0.5001587345172198,0.0955669569443517,0.1292622238254761,0.7143612878835301,0.7047025196567989,73,mean,RL401_YEAST_Fraser2016,RL401 2016,600M,600000000.0,1324,Growth,128
1637,esmc,3,0.5831590174951768,0.0921790488386292,0.1220805055830368,0.3941518062941923,0.1015601717614246,0.1370647227930699,0.7498471322879001,0.634742991701782,71,mean,RL401_YEAST_Fraser2016,RL401 2016,600M,600000000.0,1324,Growth,128
1638,esmc,4,0.607719361557202,0.085038724086429,0.1156064210272343,0.4712162281250245,0.1073345907749229,0.1407987660099919,0.7493552647761341,0.7118960083201585,97,mean,RL401_YEAST_Fraser2016,RL401 2016,600M,600000000.0,1324,Growth,128
1639,esmc,5,0.5196194451718217,0.0971743360802893,0.1285839685625814,0.4914220786590384,0.1043949417571898,0.1364842221000822,0.7116136672604243,0.6698520134004294,62,mean,RL401_YEAST_Fraser2016,RL401 2016,600M,600000000.0,1324,Growth,128
1640,esmc,1,0.5265458159675951,0.1750651446287777,0.2195881646437882,0.47279116309707,0.1795681127898356,0.2247584048372985,0.6976087482467828,0.6472141520137838,53,mean,PTEN_HUMAN_Fowler2018,PTEN HUMAN,600M,600000000.0,4229,Protein stability,403
