Epoch,step,train_loss,train_r2,val_loss,val_r2,Model,Dataset_Name,ModelSize
12,2351,0.1081884950399398,0.1441044211387634,0.1236951425671577,0.0741446614265441,esm2_650M,CALM1 HUMAN,650M
16,4143,0.2518733739852905,0.0969270467758178,0.1921725869178772,0.2550749182701111,esm2_650M,PA FLU,650M
12,1823,0.2396810948848724,0.3618596792221069,0.1577308475971222,0.5328500270843506,esm2_650M,TIM THEMA,650M
9,1187,0.0212035104632377,0.3920669555664062,0.0129152657464146,0.6329314708709717,esm2_650M,RL401 2016,650M
18,647,0.1006262302398681,0.7258700132369995,0.1018247827887535,0.6216093301773071,esm2_650M,YAP1 singles,650M
14,2015,0.0148122310638427,0.8178688287734985,0.0211048200726509,0.7025807499885559,esm2_650M,IF1 ECOLI,650M
17,2583,0.0471617206931114,0.8685726523399353,0.0815969258546829,0.7941318154335022,esm2_650M,TIM THETH,650M
8,2799,0.415411502122879,0.4757294654846191,0.4250737428665161,0.4089256525039673,esm2_650M,BG STRSQ,650M
14,6355,0.0168368872255086,0.8634616732597351,0.0305765960365533,0.7447575330734253,esm2_650M,HSP82 YEAST,650M
5,2629,1.195556402206421,0.5364660024642944,1.1039156913757324,0.5611346960067749,esm2_650M,BLAT ECOLX 2012,650M
5,714,0.1082123145461082,0.3616344332695007,0.0475917048752307,0.672081470489502,esm2_650M,RL401 2014,650M
15,10214,1.059112548828125,0.1864688396453857,1.100710391998291,0.1543982625007629,esm2_650M,MK01 HUMAN,650M
24,10151,0.0370326153934001,0.636399507522583,0.0403468869626522,0.5818396806716919,esm2_650M,PTEN HUMAN,650M
7,888,0.039561528712511,0.6400772929191589,0.0498929545283317,0.6487177014350891,esm2_650M,RL401 2013,650M
5,2494,0.2642713487148285,0.8003144264221191,0.3204090893268585,0.7602271437644958,esm2_650M,BLAT ECOLX 2015,650M
6,2051,0.2973309159278869,-0.033058762550354,0.2656980156898498,0.0430527925491333,esm2_650M,TPK1 HUMAN,650M
8,791,2.870872735977173,0.2521350979804992,2.69263243675232,0.282535195350647,esm2_650M,BLAT ECOLX 2013,650M
14,7307,0.3975710272789001,0.5592209100723267,0.4205308556556701,0.5087391138076782,esm2_650M,KKA2 KLEPN,650M
12,4775,0.0617863535881042,0.5593781471252441,0.0684471055865287,0.5263006687164307,esm2_650M,TPMT HUMAN,650M
8,1215,0.1658362597227096,0.552969753742218,0.1506024450063705,0.5977990627288818,esm2_650M,TIM SULSO,650M
6,6767,0.6968904733657837,0.5834524631500244,0.7406784892082214,0.578728437423706,esm2_650M,HG FLU,650M
16,5007,0.0249707624316215,0.7321994304656982,0.022667970508337,0.741715133190155,esm2_650M,RASH HUMAN,650M
11,1979,0.0741539150476455,0.4716259837150574,0.0842801630496978,0.435522198677063,esm2_3B,SUMO1 HUMAN,3B
9,5912,0.0559243224561214,0.6065489649772644,0.0675124749541282,0.5526040196418762,esm2_3B,AMIE PSEAE,3B
5,5639,0.5832364559173584,0.6515212059020996,0.6405158638954163,0.6356973648071289,esm2_3B,HG FLU,3B
15,2279,0.2045435458421707,0.4574487209320068,0.1594232022762298,0.527837872505188,esm2_3B,TIM THEMA,3B
1,177,0.2555049955844879,-0.9018027782440186,0.1338669210672378,0.0013181567192077,esm2_3B,MTH3 HAEAESTABILIZED,3B
6,5513,0.0023841818328946,0.8846589922904968,0.0010710180504247,0.9354751706123352,esm2_3B,parEparD all,3B
17,2583,0.0998684987425804,0.721692681312561,0.0962153300642967,0.7572497129440308,esm2_3B,TIM THETH,3B
7,5830,0.0934769883751869,0.6494649052619934,0.1255329549312591,0.5287995338439941,esm2_3B,B3VI55 LIPSTSTABLE,3B
3,1496,0.400395393371582,0.697616457939148,0.3144999146461487,0.7646491527557373,esm2_3B,BLAT ECOLX 2015,3B
19,2735,0.0180039331316947,0.7793020009994507,0.0213845092803239,0.6986392140388489,esm2_3B,IF1 ECOLI,3B
4,2723,1.3868906497955322,-0.0653995275497436,1.2968428134918213,0.0037228465080261,esm2_3B,MK01 HUMAN,3B
17,5813,0.2615982890129089,0.0901575088500976,0.2468711882829666,0.1108601093292236,esm2_3B,TPK1 HUMAN,3B
21,9533,0.0296257752925157,0.7595972418785095,0.0313160642981529,0.7385847568511963,esm2_3B,HSP82 YEAST,3B
18,2987,0.0532534047961235,0.6574229001998901,0.0515742413699626,0.6992539167404175,esm2_3B,DLG4 RAT,3B
8,1567,0.1474889069795608,-0.1719310283660888,0.1331692934036255,0.0032307505607604,esm2_3B,CALM1 HUMAN,3B
8,4375,0.0331169664859771,0.8384329080581665,0.0480496361851692,0.7741272449493408,esm2_3B,BLAT ECOLX 2014,3B
16,2111,0.0149548323825001,0.5695624351501465,0.0143409818410873,0.5924107432365417,esm2_3B,RL401 2016,3B
16,6767,0.0423760004341602,0.5838373899459839,0.0425599068403244,0.558903694152832,esm2_3B,PTEN HUMAN,3B
7,3653,0.390236884355545,0.5672966241836548,0.4118986427783966,0.5188231468200684,esm2_3B,KKA2 KLEPN,3B
14,1777,0.0263575613498687,0.7582392692565918,0.0461238548159599,0.6752548813819885,esm2_3B,RL401 2013,3B
8,791,2.232086420059204,0.4185394644737243,1.799627423286438,0.5204806923866272,esm2_3B,BLAT ECOLX 2013,3B
12,1427,0.0579580590128898,0.5700663328170776,0.0520565547049045,0.5839018225669861,esm2_3B,PABP singles,3B
10,2589,0.298029750585556,-0.068562626838684,0.2548016905784607,0.0123036503791809,esm2_3B,PA FLU,3B
11,1572,0.0533912517130374,0.6836763024330139,0.039818812161684,0.7256385684013367,esm2_3B,RL401 2014,3B
7,1063,0.170927956700325,0.5388399362564087,0.1353486478328704,0.6385360956192017,esm2_3B,TIM SULSO,3B
8,3183,0.0594139732420444,0.5762748718261719,0.0702552124857902,0.5137873291969299,esm2_3B,TPMT HUMAN,3B
11,395,0.2165212631225586,0.4105050563812256,0.1288160234689712,0.5213072896003723,esm2_3B,YAP1 singles,3B
9,7262,0.0594579651951789,0.4332633018493652,0.0743657946586608,0.2872396111488342,esm2_3B,B3VI55 LIPST,3B
4,2103,1.039412021636963,0.5970715880393982,0.9843848943710328,0.6086544990539551,esm2_3B,BLAT ECOLX 2012,3B
5,1749,0.3703289031982422,0.5326261520385742,0.4014626741409302,0.4417573809623718,esm2_3B,BG STRSQ,3B
17,5320,0.0166551824659109,0.8214846849441528,0.0239250026643276,0.7273921966552734,esm2_3B,RASH HUMAN,3B
